epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.567,1.59648,3.46847,1.34788,0.8916,0.05476,0.20889,0.10368,1.65285,3.60169,1.2649,0.000328502,0.000328502,0.000328502
2,275.302,1.49606,2.13111,1.26683,0.52171,0.50915,0.53779,0.29812,1.50227,2.29213,1.24462,0.00044343,0.00044343,0.00044343
3,411.596,1.39725,1.6924,1.21851,0.61557,0.62017,0.59252,0.34498,1.47962,1.87768,1.23176,0.000338357,0.000338357,0.000338357
